Switzerland,CHE,SU_A3
Syria,SYR,SU_A3
Taiwan,TWN,SU_A3
Tajikistan,TJK,SU_A3
United Republic of Tanzania,TZA,SU_A3
Thailand,THA,SU_A3
East Timor,TLS,SU_A3
Togo,TGO,SU_A3
Tonga,TON,SU_A3
Trinidad and Tobago,TTO,SU_A3
Tunisia,TUN,SU_A3
Turkey,TUR,SU_A3
Turkmenistan,TKM,SU_A3
Turks and Caicos Islands,TCA,SU_A3
Uganda,UGA,SU_A3
Ukraine,UKR,SU_A3
United Arab Emirates,ARE,SU_A3
United Kingdom,GBR,SU_A3
United States Of America,USA,SU_A3
Uruguay,URY,SU_A3
Uzbekistan,UZB,SU_A3
Vanuatu,VUT,SU_A3
Venezuela,VEN,SU_A3
Vietnam,VNM,SU_A3
Western Sahara,ESH,ISO_A3
Yemen,YEM,SU_A3
Zambia,ZMB,SU_A3
Zimbabwe,ZWE,SU_A3
